20 88 163 173 201 915 5125
63 82 177 192 990 2431 2822
49 157 185 192 208 3420 5356
16 46 159 643 770 1280 1660
20 24 103 173 185 1109 9202
82 106 162 193 897 2757 3426
11 192 208 694 884 2060 3420 5101 9229
170 185 203 1123 2105 3523 12570
157 173 203 208 329 749 5125
20 103 157 203 836 1099 3295 5125
8 80 105 162 176 920 943
49 103 157 185 205 836 1139
88 169 176 187 194 201 689
24 173 185 206 1034 1109 9202
49 103 164 179 207 668 4040
107 162 191 200 1540 2776 3926
63 162 194 204 205 920 1610
157 173 179 1109 2105 3420 9202 12951
49 103 164 179 668 1560 4651
173 199 203 208 1021 3420 5125
15 163 192 204 836 4107 7849
197 836 1209 1560 2485 4436 10420 14249
24 49 192 749 836 1449 9202
63 177 192 205 836 2431 2822
24 35 123 192 836 1021 1109
94 210 836 1209 1560 2485 10420
49 179 208 703 2105 3523 5168
11 103 157 173 884 910 1350 2747 3857
15 46 49 170 178 206 770
15 48 80 176 208 703 1109
3 49 84 103 119 179 925
156 185 201 203 1449 3523 9202
5 15 24 105 204 206 707
8 184 201 637 792 3380 7623
17 27 133 200 988 1160 1429
15 82 192 836 915 1109 7849 12126
20 145 204 751 871 1517 4167
179 194 203 208 703 2179 9202
49 103 157 179 199 857 1280
15 81 175 205 920 1031 5182
20 94 205 793 836 1209 2485 4436
20 24 29 185 203 1449 5374
24 105 185 749 1034 1109 3523 9202
74 157 179 192 203 749 836
56 162 163 192 204 1031 2173
157 185 205 1236 2105 3908 15238
63 162 191 204 920 1610 2176
63 94 177 836 990 2431 2822
24 46 173 185 206 1109 9202
13 145 162 190 907 1517 3326
49 170 179 703 1280 2105 3523
8 88 169 176 686 797 1109
88 169 176 187 194 689 4510
15 194 206 920 943 1109 5125 9721
48 156 201 203 5125 8668 9202 13213
8 148 194 868 913 1540 4106 5125
54 184 201 205 882 942 4968
24 103 173 179 749 1109 3420
49 179 208 779 2263 3523 13213
15 24 28 178 192 1050 2485
8 105 133 176 797 943 1109
63 175 194 197 199 206 499
15 46 77 770 918 1538 4104 8677 11092
8 35 157 162 182 1043 7953
3 103 157 179 203 857 3523
49 164 179 765 1443 1560 4651
49 173 179 208 749 3420 9202
79 162 190 192 386 2050 4645
49 170 179 206 703 935 2105
20 24 49 179 749 1034 9202
80 105 943 1109 1588 4510 5295 8394
88 169 176 194 689 1109 4510
8 62 133 194 200 832 964
63 94 210 836 1209 2485 10420
3 8 33 103 157 868 1383
157 171 179 1280 2105 4013 7543
56 163 204 205 512 2173 2845
24 79 183 203 386 821 1031 2173
3 33 103 157 179 203 1280
24 49 185 208 755 1021 1034 1645
3 49 157 179 678 929 1280 1895
20 63 195 836 961 1024 1537 2239
20 82 185 703 836 2105 4665
24 173 185 200 203 208 9115
24 163 209 655 836 1139 2233
15 20 63 82 148 204 836
185 703 836 1109 1449 2105 9202
49 70 179 199 1280 1365 1660
79 157 173 749 1168 2422 4106
105 157 179 208 1034 3523 5168
46 173 178 196 199 2060 3420
156 192 203 1449 5125 8668 9202 13213
46 192 199 1021 1530 4180 5053
3 8 82 105 145 170 201
20 103 157 836 915 1099 3295 5125
20 103 179 703 765 1443 4651
103 157 192 199 203 3295 5125
8 17 133 832 988 2823 4510
162 163 196 204 205 1031 2173
3 8 82 105 201 915 929
8 133 176 200 639 788 1160
20 49 157 179 197 205 4436
46 49 192 749 1449 3709 5125 9202
3 195 668 1443 1560 3703 4651 6337
8 35 201 736 942 2905 4968
20 82 179 205 703 836 1385
15 138 147 167 193 839 1196
24 88 123 169 836 1021 1109
56 162 163 190 386 821 2173
20 24 49 173 749 793 5125 9202
3 35 159 184 643 871 1409
157 194 199 206 689 1109 5125
162 192 200 205 924 2776 9702
3 82 157 170 1236 2105 7024
35 157 162 678 723 1318 1409
49 103 157 194 199 1280 4868
179 201 208 1034 1109 2105 2179
34 79 162 192 207 1060 7627
8 133 156 194 200 832 988
20 103 157 915 2105 3908 4651
46 49 157 170 179 1280 13210
