103 168 207 678 6337
24 49 536 836 2179 2485
84 193 1517 2201 12084
103 157 836 1109 9202
20 185 1109 1449 9202
11 46 1280 3420 4939 7474
157 208 1109 1540 2989
46 206 1109 2980 9202 13210
163 205 1099 1533 5134
63 157 195 1639 10420
179 203 1280 2105 3523
46 175 2254 3709 8677
157 203 915 2105 5125 9202
46 49 157 173 2060
20 163 655 836 9322
24 133 206 797 2026
15 24 703 797 1109
157 170 915 1383 2105 3523
183 190 386 821 2173
8 24 105 133 198
3 105 157 643 929
3 20 49 857 5168 9615
33 157 162 175 3574
24 163 793 3709 10273
82 157 208 1109 2179
157 208 536 749 4830
6 157 925 1236 2105
3 35 82 105 157
162 193 204 1517 2757
24 98 163 1449 5374
8 103 156 851 1280
82 159 184 668 7635
20 49 94 1560 5672
105 133 169 1109 4512
46 49 157 199 9202
3 882 929 1236 2076
15 24 63 3295 7849
62 133 189 200 1160
103 157 196 995 2839
133 176 200 988 1569
24 62 97 133 208
162 163 821 2173 6106 13944
8 184 882 2726 5077 9695
20 163 751 1099 1109
147 163 797 836 2431
49 103 1280 3523 7543
20 203 836 1449 9202
173 203 749 1168 2808
17 62 200 832 1160
35 103 157 1286 3908
15 163 836 2485 3295
9 24 169 1109 5071
157 173 206 3142 4609
105 157 749 1109 1569 4794
56 205 386 1031 2173
199 203 868 1918 5026 9250
1109 1280 3420 5125 9718
24 206 1034 1109 9202
3 103 179 857 8331
157 203 749 1918 5125
88 169 176 201 686
105 913 1109 3905 7026
105 749 943 1109 1259
20 179 205 1385 3908
157 199 208 2179 9202
157 159 1109 2980 9718 11092
53 88 105 133 208
49 179 1280 2105 3420
49 774 2105 3523 7543
176 192 836 915 3908
3 201 851 929 7024
3 186 207 871 1854
103 179 205 703 925
15 82 88 194 2179
157 194 198 199 2830
3 184 871 1303 1334
3 8 25 157 678
88 133 157 176 943
15 63 204 1109 2179
35 82 157 159 2378
24 103 1109 1278 9202
84 204 871 920 2713
20 49 205 703 4665
46 157 749 3709 5125
157 195 202 1639 3574
8 53 133 169 189
