24 836 1773
24 1479 9322
109 163 9649
24 208 2179
156 1560 2431
148 686 878
24 1011 9148
133 176 1109
15 193 1196
836 2239 5876 14189
3 169 1334
159 871 12784
205 2431 3295
20 1024 2822
173 990 3298
9 148 686
749 1109 10021
15 163 793
8 943 4510
20 49 94
913 1109 2980
103 749 1109
8 58 422
197 503 5301
46 770 8677
208 929 7024
162 194 210
188 192 1550
49 173 703
201 678 7024
3 103 6337
105 770 4660
24 98 836
63 836 1687
178 200 2422
28 208 536
46 77 918
24 749 3709
162 749 3142
196 1109 2980
46 170 2656
686 1060 1254
103 925 2105
105 157 199
201 942 1236
176 797 5206
208 2179 5125
82 208 929
3 8 6296
49 164 4040
163 209 779
163 175 14249
157 208 2422
94 177 2822
157 915 4013
105 1109 1385
183 1569 3579
24 88 1383
175 920 1099
3 49 4868
16 1236 1280
162 2776 3297
3 20 703
205 836 915
49 183 749
162 190 4167
173 203 4106
192 1535 6337
20 163 5374
63 836 975
103 836 9202
10 201 751
125 1257 1385
24 189 7990
770 1538 2980
536 2179 5270
79 920 2776
170 1280 7497
8 194 749
8 770 3552
749 3523 9202
1031 1105 5128
8 82 2717
83 1536 4110
157 689 1109
84 821 9148
178 1550 2173
163 194 3295
20 836 1024 2239
15 24 1385
105 170 9343
24 686 1109
195 836 1549
92 655 836
145 193 2375
157 668 7635
33 1041 1569
182 683 2757
194 962 1660
63 157 5303
196 694 3420
194 913 1538
668 915 2105
8 1094 2956
205 836 3908
157 925 3908
35 157 643
15 103 1385
15 915 1109
192 208 703
133 169 4525
179 1109 3142
884 2747 3420
63 990 2239
103 179 201
208 536 5125
192 200 9702
3 668 7225
707 975 2176
24 173 1449
81 192 9702
205 1031 3295
27 133 4280
13 907 1517
84 2173 5337
8 1043 3574
24 169 204
3 1236 1280
63 195 1639
74 192 386
24 1043 1445
175 993 10420
173 1109 8908
133 1588 4510
14 24 716
1280 3420 7128 12907
1034 2105 3523
27 162 210
49 703 1034
33 7953 11568
106 871 1283
163 173 1449
703 1123 12570
1043 1409 3537
179 1109 1160
33 105 1445
176 668 4651
15 1031 1105
157 1123 2105
63 81 192
49 4001 4924
9 106 2757
62 97 133
103 157 640
33 643 1431
5 167 2311
355 2105 4651
536 917 2773
157 169 4512
20 33 3627
185 203 12907
49 1280 7543
205 836 5876
1538 1598 1660
204 3537 6296
63 993 1639
63 506 2431
78 919 1607
79 1540 9720
159 186 2609
133 686 4794
179 925 1269
49 175 1236
147 993 2234
103 129 1143
736 821 4825
46 326 2707
63 536 1639
208 797 3265
157 915 1236
82 943 2980
103 1109 2431
8 17 133
23 63 9720
3 703 3523
179 192 4436
103 1319 3295 7783
179 703 3420
79 2176 2776
63 194 9139
24 1918 3420
178 972 2173
175 1660 4104
88 133 4510
24 1043 1569
142 170 8472
185 857 3523
24 536 1683
179 777 1226
49 185 355
929 2625 5168 9615
105 133 943
156 201 5125
920 2122 9649
203 3420 12907
49 119 157
707 943 2122
685 2776 9720
157 749 5211
178 196 199
164 1236 4013
68 749 1109
168 170 7024
2105 3199 4651
103 205 2105
28 63 975
46 201 8569
135 1449 5876
203 915 4651
15 1280 3420
749 943 1109
105 206 2793
915 3908 12126
178 210 2485
199 643 1660
20 703 836
793 1002 2485
163 4804 10420
49 178 2254
3 185 643
157 925 8331
24 1043 10171
179 1319 1443
703 2179 9202
103 173 793
33 35 189
103 2105 3523
24 194 2179
8 686 4794
103 162 3589
159 871 2378
82 1236 4968
3 82 184
178 767 5893
3 35 871
11 157 3420
196 2233 12126
15 205 7849
8 2726 9695
133 686 1109
15 163 203
46 3420 12907
199 1209 9999
179 836 4436
201 3860 7635
24 1109 3265
192 506 2822
105 179 1286
178 749 1139
1278 2263 3523
49 103 925
1024 1537 2239
105 943 5295
203 386 1031
82 836 961
24 169 1109
920 2121 13944
20 88 5125
148 204 836
169 1109 5125
186 871 3537
3 1152 7976
305 1021 5071
185 199 4040
79 891 2136
194 1280 5125
8 943 5125
103 2105 7543
82 201 1236
194 965 3295
749 1043 1569
16 24 46
175 194 1280
163 8677 11092
3 169 1560
167 703 1443
194 749 4258
199 2485 5125
105 1445 3579
82 1235 7178
49 103 126
44 1713 11621
24 173 3420
668 1278 2105
208 1540 5125
199 3857 12907
46 49 206
15 28 839
33 105 169
28 707 975
668 1560 6337
24 167 1385
162 4167 5036
49 185 205
836 965 14249
3 1383 2309
74 192 200
163 774 1379
836 1139 9322
82 198 7191
