46 204 770 4987
185 194 199 209
3 82 929 7178
163 194 995 3295
157 203 749 1449
105 167 1569 4417
156 201 1109 1449
103 749 1139 1352
8 169 176 1109
24 179 749 4195
20 88 793 1015
15 194 920 1109
187 689 988 4346
157 162 995 3295
208 694 1094 2060
15 24 996 1034
27 162 2431 4794
20 105 179 2105
56 163 204 9190
199 1094 1437 9229
157 793 857 1383
176 179 194 1109
169 203 749 868
171 209 1449 1660
15 135 703 1449
8 194 2254 8677
103 1535 3295 4438 14252
77 175 199 3420
82 105 929 1235
82 184 198 4613
103 729 1236 1619
836 915 3295 5125
74 163 172 774
3 49 103 201
208 1109 2179 4510
177 205 1385 7849
103 164 703 1236
176 668 4651 6205
46 157 749 3420
157 163 749 5125
8 189 770 1569
48 185 2263 13213
884 1094 1437 2956
183 749 1569 3579
20 836 1021 1135 3265
173 178 200 2422
49 189 1123 7543
5 105 167 4660
42 103 179 203
49 703 2105 9202
190 1060 2016 3718
24 203 5125 9202
49 126 185 1236
163 175 3295 14249
202 1024 2822 5505
46 82 1109 1908
82 208 956 1109
836 1109 3295 7849
536 917 2179 2773
15 205 774 1379
163 196 201 12126
49 793 1683 5270
24 103 167 703
8 175 194 1280
46 179 192 1449
133 194 1160 4794
133 156 645 3078
46 884 2060 2956
33 49 777 1226
88 169 176 201
88 133 4609 5830
208 749 3523 9202
134 184 1409 5639
178 196 3420 9718
103 169 689 1021
106 162 204 907
35 990 1109 4794
20 163 793 1639
24 836 1385 2431
8 643 1254 3397 7191 12784
163 192 2774 3295
23 63 1540 9720
193 204 3425 5134
15 103 167 1280
208 5125 8668 9202 13213
46 170 204 770
3 871 1409 8492
163 1099 1109 5125
109 1015 1105 1325 5074
199 643 1021 1280
200 914 2776 7839 12117
199 868 2707 5125
836 1385 3908 7849 12126
49 205 925 1236
133 206 1160 4093
105 157 1109 3523 9202
24 126 203 3420
8 24 1445 1569
193 839 996 2482
204 871 920 8683
46 1530 1660 11196
194 1109 3418 7453
178 196 199 9229
15 163 204 7849
192 797 836 1385
46 82 2532 12951
94 192 2357 4436
24 27 185 3259
173 210 751 4794
770 2254 3922 4660 6214
24 183 1383 5374
15 20 24 975
15 167 779 2311
133 176 1421 5784
157 163 9999 14249
103 749 2485 5125
8 133 749 4794
194 206 1538 3302
49 857 1485 9615
184 201 3860 7635
46 199 1280 1660
49 157 915 1236
103 192 836 1109
179 192 1021 9202
8 194 200 9433
82 163 836 4483
208 868 913 5125
56 163 204 9649
49 157 2105 4651
9 106 195 2757
105 1109 1385 3905
24 105 1109 1385
103 199 1060 1280 5026
49 707 1031 2553
199 1280 1383 5125
82 157 2105 4665
185 703 1449 3195
20 195 355 1034
5 24 206 4417
179 203 703 3420
28 707 975 2176
3 157 162 1318
8 24 1109 1160
133 173 179 3142
49 206 935 1123
49 178 749 1139
24 779 1383 3523
48 148 194 5125
24 88 536 1683
103 199 1060 1918
133 797 1109 2179
198 204 2173 9190
35 162 723 1409
162 205 1031 2173
793 1139 1325 2485
8 105 148 1569
168 201 1280 8472
175 192 208 1494
76 157 355 668
24 81 920 9649
46 157 173 2060
20 49 179 1226
82 205 2105 3908
204 920 1031 1254
156 179 192 13213
173 208 884 2060
157 160 1139 4830
35 169 176 1109
49 179 208 1123
71 882 929 2076
179 199 857 4040
8 157 184 5207
24 163 1325 2485
162 184 871 1409
15 163 836 7849
185 703 1109 2179
26 210 1209 10420
84 1011 2173 5337
82 190 205 3326
1 8 133 4609
157 1280 3420 9202
44 871 2295 3537
15 28 63 2179
736 1060 1254 2173
49 103 836 2485
49 208 1683 5125
8 943 1160 4609
8 88 749 1109
82 915 1109 1540
170 201 1660 2656
49 157 774 7543
179 206 1068 1160
82 145 162 190
49 915 2485 5125
199 206 1109 5125
105 196 770 3469
8 46 1280 2956
80 88 686 4510
103 915 4651 6337
103 915 2105 4924 7543
15 46 77 175
157 729 1280 1422
5 206 4417 6322
24 770 962 1538
199 1280 3420 7128 12907
8 1043 3574 10171
28 205 5270 9062
46 178 192 3420
163 793 1015 2485
103 201 751 2431
157 163 4804 10420
119 173 179 749
15 167 208 2482
46 1280 4915 7026
46 49 201 9202
105 857 1280 1383
8 11 24 749
103 703 3523 7539
6 49 2105 4665
164 765 2105 3908
203 1021 1280 5026
70 103 868 1280
24 200 208 9115
24 49 1034 2179
49 103 179 638
5 176 689 4510
162 191 204 920
63 175 993 1639
1021 1280 1660 9229 13234
179 703 3523 5168
5 105 1569 4660
24 204 821 9148
24 192 655 836
15 920 1031 7849
82 1109 2980 4987
171 770 1449 1660
163 205 1031 4825
204 800 1011 5337
157 198 2830 3295
105 157 159 2980
